model,size,angle_deg,L_k,L_low,L_high,q,p,matched_bpp
bmshj2018-factorized,256x256,90.0,0.9898526729032172,0.7068433563380219,0.9940476837203632,1.0,,0
bmshj2018-hyperprior,256x256,0.0,0.8417368640609755,0.4397870382342672,0.9987773700655892,1.0,,0
bmshj2018-hyperprior,256x256,15.0,0.8395430414535534,0.4835717407469199,0.9997107170252538,1.0,,0
bmshj2018-hyperprior,256x256,30.0,0.7097136171596292,0.540069284419072,0.943666503580154,1.0,,0
bmshj2018-hyperprior,256x256,45.0,0.8317365454519782,0.4359341863482672,0.9896182735969464,1.0,,0
bmshj2018-hyperprior,256x256,60.0,0.8228932988830346,0.5063096418621302,0.9997573269324548,1.0,,0
bmshj2018-hyperprior,256x256,75.0,0.6490479418353302,0.5596891313104799,0.999931194494236,1.0,,0
bmshj2018-hyperprior,256x256,90.0,0.7873960921972345,0.4397097924430431,0.9902268301952566,1.0,,0
mbt2018-mean,256x256,0.0,0.754403970526381,0.4242857287470072,0.99884376726471,1.0,,0
mbt2018-mean,256x256,15.0,0.7518035624075718,0.4668551825422342,0.997539528303905,1.0,,0
mbt2018-mean,256x256,30.0,0.645800803055909,0.500836418490327,0.930676197848195,1.0,,0
mbt2018-mean,256x256,45.0,0.7629006702655361,0.46832908567642,0.951705968122317,1.0,,0
mbt2018-mean,256x256,60.0,0.7163353247292779,0.4531582836619068,0.99989652666067,1.0,,0
mbt2018-mean,256x256,75.0,0.6494073224865604,0.4985136176929498,0.9996487876441592,1.0,,0
mbt2018-mean,256x256,90.0,0.7601610045250092,0.4261079620916381,0.990448539454878,1.0,,0
mbt2018,256x256,0.0,0.7182378432625155,0.360250382363042,0.9893423898071212,1.0,,0
mbt2018,256x256,15.0,0.6183232371272167,0.4225367959471554,0.9887930260891968,1.0,,0
mbt2018,256x256,30.0,0.6686551605750509,0.4547859437448279,0.9779077585929902,1.0,,0
mbt2018,256x256,45.0,0.695263665316054,0.429121368254278,0.9741262925115852,1.0,,0
mbt2018,256x256,60.0,0.6519725702459447,0.4270454073752232,0.9994501992507782,1.0,,0
mbt2018,256x256,75.0,0.6490244354660674,0.438041384053154,0.9997559565344756,1.0,,0
mbt2018,256x256,90.0,0.6609773674367848,0.3897766419984286,0.9839226710820314,1.0,,0
jpeg,256x256,0.0,0.0580216164793401,0.0206965831344558,0.1026849147643927,1.0,,0
jpeg,256x256,15.0,0.0373025821914741,0.0302512166431255,0.0927869436211056,1.0,,0
jpeg,256x256,30.0,0.0483256740628216,0.044908664389561,0.0488204922443925,1.0,,0
jpeg,256x256,45.0,0.059511980439188,0.021985454995215,0.0942174799686271,1.0,,0
