model,setting,bpp,L_k
ftic,q=1,0.5891955196857452,0.01780421080272393
ftic,q=2,0.7961369007825851,0.012463940244481497
ftic,q=3,1.1110092401504517,0.008426638560771471
ftic,q=4,1.600071033462882,0.005902520093692187
ftic,q=5,2.2204929646104574,0.0048177464984721086
ftic,q=6,2.976837506517768,0.004442968097152278
tcm,p=64,0.7142575737088919,0.027814080633655258
tcm,p=128,2.5985737461596727,0.0019218475696352044
cheng2020-anchor,q=1,1.0369275989942253,0.6800290948370544
cheng2020-anchor,q=2,1.5797447497025132,0.6463336412528248
cheng2020-anchor,q=3,1.8269272618927062,0.6674132567678714
cheng2020-anchor,q=4,3.9106116723269224,0.5232547976444722
cheng2020-anchor,q=5,4.279481537640095,0.5551137867264117
cheng2020-anchor,q=6,4.676950706169009,0.7676095182919885
cheng2020-attn,q=1,0.6680879620835185,0.5763590938692151
cheng2020-attn,q=2,0.7851877398788929,0.5163408051676739
cheng2020-attn,q=3,0.98848847579211,0.5056970092514688
cheng2020-attn,q=4,1.7804481945931911,0.35012585592931256
cheng2020-attn,q=5,2.015514388680458,0.2647421487714357
cheng2020-attn,q=6,2.357979287393391,0.30524927748164793
bmshj2018-factorized,q=1,0.10827138274908066,0.9777567866845633
bmshj2018-factorized,q=2,0.19164569675922394,0.9414839753087679
bmshj2018-factorized,q=3,0.3314620852470398,0.8533261897090927
bmshj2018-factorized,q=4,0.6100786328315735,0.7675976557227165
bmshj2018-factorized,q=5,0.9147028923034668,0.6531354796127331
bmshj2018-factorized,q=6,1.5175895690917969,0.4565785624168557
bmshj2018-hyperprior,q=1,0.5449905130080879,0.8417368702305285
bmshj2018-hyperprior,q=2,0.7393805366009474,0.6117181556310646
bmshj2018-hyperprior,q=3,1.1253959648311138,0.5041275148218809
bmshj2018-hyperprior,q=4,1.6829091235995293,0.40898316993900496
bmshj2018-hyperprior,q=5,1.8340969271957874,0.3906905605902026
bmshj2018-hyperprior,q=6,2.9460386522114277,0.14817253548459142
mbt2018-mean,q=1,0.5108526861295104,0.7544039717425526
mbt2018-mean,q=2,0.6825481187552214,0.6177774254645889
mbt2018-mean,q=3,2.799034882336855,0.43328094167264014
mbt2018-mean,q=4,1.4633520357310772,0.49182180614849363
mbt2018-mean,q=5,7.7359669059515,0.127643657637511
mbt2018-mean,q=6,7.336055606603622,0.12510831913582365
mbt2018,q=1,0.5226091668009758,0.7182378427358507
mbt2018,q=2,1.3550802739337087,0.5443504706853455
mbt2018,q=3,1.2430234625935555,0.5723822100682678
mbt2018,q=4,1.6286820992827415,0.36414290574655783
mbt2018,q=5,5.867010846734047,0.10740617894014798
mbt2018,q=6,5.111670538783073,0.11553576541846977
jpegxl,override=0.3,3.953857421875,0.00032644296072226187
jpegxl,override=0.5,3.08935546875,0.0007624064485483029
jpegxl,override=0.8,2.7540283203125,0.001001109969346159
jpegxl,override=1.0,2.407958984375,0.0013431252224196943
jpegxl,override=1.5,1.98974609375,0.0024129399795929096
jpegxl,override=2.0,1.766845703125,0.0033833585739731498
jpegxl,override=2.5,1.538330078125,0.004747845346532997
jpegxl,override=3.0,1.34326171875,0.006306867329634591
jpegxl,override=4.0,1.1395263671875,0.009488726545348769
jpegxl,override=6.0,0.9935302734375,0.017115613347863767
jpegxl,override=8.0,0.85400390625,0.02595908558537313
jpegxl,override=15.0,0.5205078125,0.06120076884686543
jpeg,override=1,0.6849365234375,0.15229077230775567
jpeg,override=6,0.8328857421875,0.11833909496798217
jpeg,override=11,1.0601806640625,0.09944202456974705
jpeg,override=16,1.2779541015625,0.07407350639989502
jpeg,override=21,1.4732666015625,0.055114114582818396
jpeg,override=26,1.6529541015625,0.04167192148361387
jpeg,override=31,1.8133544921875,0.03214754248307389
jpeg,override=36,1.957275390625,0.026597117497441092
jpeg,override=41,2.084716796875,0.021783299801051315
jpeg,override=46,2.196533203125,0.019124187996587716
jpeg,override=51,2.2855224609375,0.01687348718123416
jpeg,override=56,2.405517578125,0.013803200246389147
jpeg,override=61,2.5419921875,0.011839387337283958
jpeg,override=66,2.685302734375,0.009695739478060073
jpeg,override=71,2.8665771484375,0.007286181700223104
jpeg,override=76,3.07861328125,0.005390591730829841
jpeg,override=81,3.3787841796875,0.0036126219844143104
jpeg,override=86,3.7579345703125,0.0022197200360616898
jpeg,override=91,4.31787109375,0.0010281423488391894
jpeg,override=96,5.4378662109375,0.00024039337522646642
jpeg,override=100,7.20654296875,2.0373091686565203e-05
webp,override=0,0.972412109375,0.13189615508356267
webp,override=5,1.82861328125,0.04017125221927037
webp,override=10,2.116455078125,0.027362531059611173
webp,override=15,2.322265625,0.020040888861096617
webp,override=20,2.470947265625,0.016441176813667246
webp,override=25,2.609619140625,0.013513710092420972
webp,override=30,2.768798828125,0.010382430371187024
webp,override=35,2.889404296875,0.008630161117450297
webp,override=40,3.012939453125,0.007240096279080233
webp,override=45,3.104736328125,0.006228481537931763
webp,override=50,3.19287109375,0.005603562961368824
webp,override=55,3.297119140625,0.004799797769639513
webp,override=60,3.386962890625,0.004272900297945137
webp,override=65,3.481201171875,0.0037662856199862094
webp,override=70,3.575927734375,0.0033137513105758187
webp,override=75,3.674560546875,0.0028452001797593662
webp,override=80,4.01904296875,0.0017898374056958266
webp,override=85,4.37109375,0.0011380965311778013
webp,override=90,4.862060546875,0.0006062238437447576
webp,override=95,5.60986328125,0.0002484024373815563
webp,override=100,6.522216796875,0.00010232049859915104
webp,override=100,6.522216796875,0.00010232049859915104
