model,setting,bpp,L_k
ftic,q=1,0.8391381055116653,0.01745322462828275
ftic,q=2,1.3642889820039272,0.011873090180404333
ftic,q=3,1.9773647114634514,0.00884474075956182
ftic,q=4,3.0935348346829414,0.005973693478585174
ftic,q=5,4.242243597283959,0.005250271602503631
ftic,q=6,4.89590023085475,0.004531419798367908
tcm,p=64,0.7259938772767782,0.02698738478508239
tcm,p=128,2.6280665397644043,0.0018518265926283362
cheng2020-anchor,q=1,1.4505626312457025,0.725592799868849
cheng2020-anchor,q=2,1.7472367039881647,0.6788301248058284
cheng2020-anchor,q=3,1.9370237654075027,0.6690428397770765
cheng2020-anchor,q=4,4.698273282498121,0.9756622392367306
cheng2020-anchor,q=5,4.698060616850853,0.9969957774161338
cheng2020-anchor,q=6,4.704719968140125,0.9978532657001793
cheng2020-attn,q=1,0.6752006877213717,0.5687606996961537
cheng2020-attn,q=2,0.8017041897401214,0.5299000829389978
cheng2020-attn,q=3,1.0053283758461475,0.500148859598869
cheng2020-attn,q=4,1.7222752254456282,0.3504602095423154
cheng2020-attn,q=5,1.9542326536029577,0.24342667846462984
cheng2020-attn,q=6,2.2857577577233315,0.30033912071420016
bmshj2018-factorized,q=1,0.10029980540275574,0.9937331048848838
bmshj2018-factorized,q=2,0.18005472421646118,0.9618134202636153
bmshj2018-factorized,q=3,0.31014499068260193,0.8769510625755432
bmshj2018-factorized,q=4,0.5818837285041809,0.7801731508841967
bmshj2018-factorized,q=5,0.8699619770050049,0.6588941358631293
bmshj2018-factorized,q=6,1.449476718902588,0.4559311884620267
bmshj2018-hyperprior,q=1,0.5336442589759827,0.8868015807310988
bmshj2018-hyperprior,q=2,0.6711695343255997,0.6593197772019885
bmshj2018-hyperprior,q=3,1.0963784884661436,0.5762538456190385
bmshj2018-hyperprior,q=4,1.689379520714283,0.44200931799474247
bmshj2018-hyperprior,q=5,1.7684153206646442,0.4376342663229144
bmshj2018-hyperprior,q=6,2.9633103981614113,0.14458811154942175
mbt2018-mean,q=1,0.554198669269681,0.8184675101562158
mbt2018-mean,q=2,0.6500815283507109,0.6417907267609975
mbt2018-mean,q=3,2.6824214458465576,0.4542387028705067
mbt2018-mean,q=4,2.029431715607643,0.5075427472742525
mbt2018-mean,q=5,14.591274425387383,0.13363948808129333
mbt2018-mean,q=6,10.938961006700993,0.11022256736431119
mbt2018,q=1,0.5653413170948625,0.7223366361995206
mbt2018,q=2,1.4109209962189198,0.61854805468723
mbt2018,q=3,1.3950111530721188,0.6889764814531076
mbt2018,q=4,2.9924249332398176,0.39371623307394943
mbt2018,q=5,6.198941841721535,0.09867088715356859
mbt2018,q=6,6.517022963613272,0.11570643190790508
jpeg,override=1,0.64385986328125,0.155813916207299
jpeg,override=6,0.7949142456054688,0.12355445238434687
jpeg,override=11,1.0191879272460938,0.10226011157996029
jpeg,override=16,1.2351837158203125,0.0751438065206459
jpeg,override=21,1.429901123046875,0.0555858668402508
jpeg,override=26,1.6056365966796875,0.040869175777439926
jpeg,override=31,1.76165771484375,0.032073132758342005
jpeg,override=36,1.9031600952148438,0.025976492559626307
jpeg,override=41,2.0217514038085938,0.02087634352724438
jpeg,override=46,2.133453369140625,0.01818661083664297
jpeg,override=51,2.2189102172851562,0.015838902467998683
jpeg,override=56,2.3321762084960938,0.01342510632086763
jpeg,override=61,2.4596786499023438,0.011228380614494882
jpeg,override=66,2.5962600708007812,0.00912032615267322
jpeg,override=71,2.7751922607421875,0.0072247936943075075
jpeg,override=76,2.9753646850585938,0.005258440292192412
jpeg,override=81,3.2603683471679688,0.0035478747363905105
jpeg,override=86,3.6296539306640625,0.0021341020668395605
jpeg,override=91,4.173606872558594,0.0010003559695427877
jpeg,override=96,5.263160705566406,0.00023338664799843478
jpeg,override=100,7.003021240234375,2.0655615835751817e-05
webp,override=0,0.932403564453125,0.1360993586701711
webp,override=5,1.7421112060546875,0.040670929414683143
webp,override=10,2.0203857421875,0.026515341025258876
webp,override=15,2.17022705078125,0.021068766958063367
webp,override=20,2.3544464111328125,0.016324053230533486
webp,override=25,2.48748779296875,0.013054855426471834
webp,override=30,2.70745849609375,0.01036785644300342
webp,override=35,2.8304290771484375,0.008490036529931466
webp,override=40,2.9846038818359375,0.0070138879784322206
webp,override=45,2.9429168701171875,0.0064410051383040345
webp,override=50,3.0429534912109375,0.00560967193437345
webp,override=55,3.139617919921875,0.004928848384321283
webp,override=60,3.34576416015625,0.004261168521878134
webp,override=65,3.4068145751953125,0.0037419716470561415
webp,override=70,3.5062408447265625,0.0032381871123592365
webp,override=75,3.4801483154296875,0.002953546534172069
webp,override=80,3.8708648681640625,0.0018125316081732956
webp,override=85,4.1845550537109375,0.0011560064654384528
webp,override=90,4.7982330322265625,0.0005456018089330938
webp,override=95,5.4973907470703125,0.0002467143988399978
webp,override=100,6.3905487060546875,0.00010238234300385951
webp,override=100,6.3905487060546875,0.00010238234300385951
jpegxl,override=0.3,3.3021392822265625,0.00032749244345542383
jpegxl,override=0.5,2.6017837524414062,0.0007208042963391392
jpegxl,override=0.8,2.3274993896484375,0.0009186728744116079
jpegxl,override=1.0,2.0100631713867188,0.0012200619165015913
jpegxl,override=1.5,1.579986572265625,0.002028027281292366
jpegxl,override=2.0,1.3102188110351562,0.0028580685097185365
jpegxl,override=2.5,1.1319580078125,0.003762749103623231
jpegxl,override=3.0,1.016937255859375,0.0047160763106063874
jpegxl,override=4.0,0.847198486328125,0.006376702123836064
jpegxl,override=6.0,0.6462554931640625,0.010932033572944422
jpegxl,override=8.0,0.5499191284179688,0.01476967721380601
jpegxl,override=15.0,0.32584381103515625,0.038089646231526386
