model,setting,bpp,L_k
ftic,q=1,0.5864745192229748,0.017218486315135395
ftic,q=2,0.9354149661958218,0.012686889808818269
ftic,q=3,1.5045864712446928,0.008505510036790287
ftic,q=4,2.7084906324744225,0.0064411111747019745
ftic,q=5,4.4783591367304325,0.00490994616633611
ftic,q=6,4.007139405235648,0.004611067838621752
tcm,p=64,0.7030479945242405,0.02661881566753349
tcm,p=128,2.6245172768831253,0.0018906694817673042
cheng2020-anchor,q=1,1.5981558435596526,0.6849760079873742
cheng2020-anchor,q=2,2.0955401035025716,0.6562770451531399
cheng2020-anchor,q=3,2.3737664320506155,0.6700278455060197
cheng2020-anchor,q=4,5.2770759500563145,0.5913742479483464
cheng2020-anchor,q=5,5.331843130290508,0.5511807919456062
cheng2020-anchor,q=6,5.168370551429689,0.7204284583158461
cheng2020-attn,q=1,0.6561219836585224,0.5754339894755842
cheng2020-attn,q=2,0.7749635595828295,0.5237223347376854
cheng2020-attn,q=3,0.9916461491957307,0.5041844531774173
cheng2020-attn,q=4,1.7686046063899994,0.3527403105922072
cheng2020-attn,q=5,2.007598943077028,0.25522325490917436
cheng2020-attn,q=6,2.337691337801516,0.2963185793074219
bmshj2018-factorized,q=1,0.10302722454071045,0.9891267031120942
bmshj2018-factorized,q=2,0.18353988230228424,0.9517056819740005
bmshj2018-factorized,q=3,0.31626972556114197,0.8729918191062158
bmshj2018-factorized,q=4,0.5903550386428833,0.779533768285152
bmshj2018-factorized,q=5,0.8813914060592651,0.6570757194339616
bmshj2018-factorized,q=6,1.4671454429626465,0.45517459061696536
bmshj2018-hyperprior,q=1,0.5424517430365086,0.8609949962542538
bmshj2018-hyperprior,q=2,0.653204089961946,0.621008422706685
bmshj2018-hyperprior,q=3,1.0313586499541998,0.5568652392149298
bmshj2018-hyperprior,q=4,1.6825417876243591,0.43508804682272784
bmshj2018-hyperprior,q=5,1.7107479497790337,0.4302129657834099
bmshj2018-hyperprior,q=6,2.9249717332422733,0.14610397387041063
mbt2018-mean,q=1,0.5054369689896703,0.793449146960379
mbt2018-mean,q=2,0.6407734341919422,0.6295477556294209
mbt2018-mean,q=3,2.8991625122725964,0.4414009091306767
mbt2018-mean,q=4,1.9550409689545631,0.49428297807563043
mbt2018-mean,q=5,14.626547113060951,0.1337330761634331
mbt2018-mean,q=6,10.173604093492031,0.11560995149711673
mbt2018,q=1,0.5394200682640076,0.725744931738786
mbt2018,q=2,1.4312483305111527,0.6072614852118801
mbt2018,q=3,1.250618795864284,0.6571120036431095
mbt2018,q=4,2.2480037938803434,0.38697500714774474
mbt2018,q=5,6.439097285270691,0.10331537787967898
mbt2018,q=6,6.200490273535252,0.11499823858742447
jpegxl,override=0.3,2.963714599609375,0.00034145352978059984
jpegxl,override=0.5,2.321533203125,0.0007219228519546594
jpegxl,override=0.8,2.11669921875,0.0008407744485429691
jpegxl,override=1.0,1.934600830078125,0.0011596431196687074
jpegxl,override=1.5,1.625579833984375,0.0021099234025795943
jpegxl,override=2.0,1.41290283203125,0.0031331091148709134
jpegxl,override=2.5,1.24578857421875,0.004094641006463784
jpegxl,override=3.0,1.124237060546875,0.005435586109837687
jpegxl,override=4.0,0.985107421875,0.007701101351561046
jpegxl,override=6.0,0.755096435546875,0.013509594101589362
jpegxl,override=8.0,0.66650390625,0.01768954518937954
jpegxl,override=15.0,0.389068603515625,0.04658718432459019
webp,override=0,0.939697265625,0.13691767891806939
webp,override=5,1.78814697265625,0.041548957086411265
webp,override=10,2.09478759765625,0.026639772248959137
webp,override=15,2.28277587890625,0.020880483939359096
webp,override=20,2.43994140625,0.01647778931016025
webp,override=25,2.609130859375,0.012720744272716855
webp,override=30,2.72900390625,0.01052206882578921
webp,override=35,2.8809814453125,0.00828756201313946
webp,override=40,2.99200439453125,0.006822370459944327
webp,override=45,3.068359375,0.006239622983544357
webp,override=50,3.1690673828125,0.005375316722562751
webp,override=55,3.25848388671875,0.004822704170410752
webp,override=60,3.35113525390625,0.004220198391341856
webp,override=65,3.43756103515625,0.0036876414283091297
webp,override=70,3.53570556640625,0.0032051898145926683
webp,override=75,3.6297607421875,0.0028029666906621564
webp,override=80,3.9576416015625,0.0017804047692105418
webp,override=85,4.30328369140625,0.0011228748738784655
webp,override=90,4.801025390625,0.0005940686052311461
webp,override=95,5.5494384765625,0.00024418416804439236
webp,override=100,6.412841796875,0.0001016823211140716
webp,override=100,6.412841796875,0.0001016823211140716
jpeg,override=1,0.64947509765625,0.15405398169160733
jpeg,override=6,0.801116943359375,0.12385588446907281
jpeg,override=11,1.02557373046875,0.10031304153165832
jpeg,override=16,1.24163818359375,0.07427277781791058
jpeg,override=21,1.43475341796875,0.05426669232477843
jpeg,override=26,1.61614990234375,0.040900860262417904
jpeg,override=31,1.770111083984375,0.031992171493867017
jpeg,override=36,1.91241455078125,0.02609459598780356
jpeg,override=41,2.036285400390625,0.021676816124918064
jpeg,override=46,2.149383544921875,0.017747949323448198
jpeg,override=51,2.235015869140625,0.0157077354789113
jpeg,override=56,2.348358154296875,0.0135589548955668
jpeg,override=61,2.47467041015625,0.011390662743005209
jpeg,override=66,2.61395263671875,0.009343180759210479
jpeg,override=71,2.794830322265625,0.007197426181582867
jpeg,override=76,2.998016357421875,0.005265950251212903
jpeg,override=81,3.29119873046875,0.003540028720099675
jpeg,override=86,3.667266845703125,0.00215546919615206
jpeg,override=91,4.21429443359375,0.0010171022726744305
jpeg,override=96,5.317138671875,0.00023565476279080455
jpeg,override=100,7.06524658203125,2.0507630987098846e-05
