model,setting,bpp,L_k
cheng2020-anchor,q=1,0.9673054344020784,0.5068996955488796
cheng2020-anchor,q=2,1.1209778673946857,0.5215754515110036
cheng2020-anchor,q=3,1.2687997370958328,0.4766646898176756
cheng2020-anchor,q=4,1.9711993765085936,0.41712088423004384
cheng2020-anchor,q=5,2.307963302358985,0.252176424960869
cheng2020-anchor,q=6,2.6828713016584516,0.2630780283872105
cheng2020-attn,q=1,0.9011133071035147,0.5716583381727939
cheng2020-attn,q=2,1.0472120316699147,0.5253570244966677
cheng2020-attn,q=3,1.2874350529164076,0.5090554881196565
cheng2020-attn,q=4,2.218190487474203,0.304121921456065
cheng2020-attn,q=5,2.4798377603292465,0.2617439996044675
cheng2020-attn,q=6,2.8664845414459705,0.30552277885518625
bmshj2018-factorized,q=1,0.1506364494562149,0.9007323161855179
bmshj2018-factorized,q=2,0.2701561450958252,0.8447029788702385
bmshj2018-factorized,q=3,0.45699119567871094,0.8146884582391045
bmshj2018-factorized,q=4,0.7990678548812866,0.7208661076837257
bmshj2018-factorized,q=5,1.164893627166748,0.5802515222200565
bmshj2018-factorized,q=6,1.8450591564178467,0.37151977280731263
bmshj2018-hyperprior,q=1,0.6491730334237218,0.8058596160537541
bmshj2018-hyperprior,q=2,1.1677064336836338,0.6177114329593261
bmshj2018-hyperprior,q=3,1.5904655363410711,0.4525489901094169
bmshj2018-hyperprior,q=4,1.6390386279672384,0.3708632925076296
bmshj2018-hyperprior,q=5,1.7215592786669731,0.33375685408685785
bmshj2018-hyperprior,q=6,3.121013917028904,0.2084241091200722
mbt2018-mean,q=1,0.5111944237723947,0.7412350126216591
mbt2018-mean,q=2,0.8122190665453672,0.5996839421317641
mbt2018-mean,q=3,1.3770911991596222,0.4457498056897825
mbt2018-mean,q=4,1.5288815386593342,0.3536205518965974
mbt2018-mean,q=5,2.359349936246872,0.17090573330020614
mbt2018-mean,q=6,2.8141238652169704,0.1850922397152901
mbt2018,q=1,0.6285916259512305,0.7463306747095998
mbt2018,q=2,0.9726336989551783,0.4967799841360938
mbt2018,q=3,1.4425204191356897,0.3835476869850938
mbt2018,q=4,1.6425706138834357,0.3380959348029395
mbt2018,q=5,2.5296413265168667,0.1327289007468641
mbt2018,q=6,3.141913153231144,0.13444121900361278
jpeg,override=1,1.197265625,0.1973355103324848
jpeg,override=6,1.380859375,0.15234476101439248
jpeg,override=11,1.623046875,0.11617340120701602
jpeg,override=16,1.8828125,0.08615932731586096
jpeg,override=21,2.11328125,0.06955485568339703
jpeg,override=26,2.306640625,0.049931606954704055
jpeg,override=31,2.46875,0.03339560367990252
jpeg,override=36,2.62890625,0.02609585096802297
jpeg,override=41,2.779296875,0.022494796869097666
jpeg,override=46,2.88671875,0.01894263323363221
jpeg,override=51,2.998046875,0.014961856571091225
jpeg,override=56,3.1171875,0.013227407746043474
jpeg,override=61,3.26171875,0.012327379615768463
jpeg,override=66,3.419921875,0.010750397531266165
jpeg,override=71,3.6171875,0.007735151783771321
jpeg,override=76,3.84765625,0.005845378535772328
jpeg,override=81,4.15625,0.0039042424551525845
jpeg,override=86,4.560546875,0.002086996838431665
jpeg,override=91,5.12890625,0.001081515352280349
jpeg,override=96,6.318359375,0.00022591929779058884
jpeg,override=100,8.091796875,1.982961568058883e-05
jpegxl,override=0.3,5.974609375,0.00023905490980263844
jpegxl,override=0.5,5.30078125,0.0005572933403912295
jpegxl,override=0.8,4.720703125,0.0009600744348364776
jpegxl,override=1.0,4.390625,0.0016012130952528514
jpegxl,override=1.5,3.5078125,0.0026238273373596077
jpegxl,override=2.0,2.95703125,0.004612119017042282
jpegxl,override=2.5,2.591796875,0.005928722017022325
jpegxl,override=3.0,2.369140625,0.00971222334800459
jpegxl,override=4.0,1.927734375,0.013403874449104514
jpegxl,override=6.0,1.52734375,0.027262352385094946
jpegxl,override=8.0,1.453125,0.034262172720678996
jpegxl,override=15.0,1.01953125,0.08891445549840082
webp,override=0,1.1796875,0.1418307033890558
webp,override=5,2.15625,0.04663945104423223
webp,override=10,2.47265625,0.03226707411847857
webp,override=15,2.69140625,0.02587109548323746
webp,override=20,2.81640625,0.02170978115290839
webp,override=25,3.015625,0.015428235663245582
webp,override=30,3.11328125,0.014495496378279793
webp,override=35,3.3046875,0.010892950632971243
webp,override=40,3.4609375,0.008431343517213585
webp,override=45,3.56640625,0.007319529233086652
webp,override=50,3.66015625,0.006384213038504505
webp,override=55,3.74609375,0.005610923141751434
webp,override=60,3.8671875,0.005116852880126976
webp,override=65,3.9609375,0.004318423073851385
webp,override=70,4.09765625,0.0037883509933853143
webp,override=75,4.2265625,0.0033040138547272835
webp,override=80,4.57421875,0.0020715432110535725
webp,override=85,4.9609375,0.0013132247537553376
webp,override=90,5.4453125,0.0006681746904169672
webp,override=95,6.23828125,0.00025324764587575377
webp,override=100,7.15234375,0.00010376762950842222
webp,override=100,7.15234375,0.00010376762950842222
