Model,Size,p,q,bpp,L_k,L_low,L_high,ODR_k,|Delta_c_k|,s_k,H_k_bits,CE_k(w=2)
cheng2020-anchor,512x512,,1.0,1.5982,0.685,0.1962,0.8123,0.7958,0.0481,0.2302,0.6686,0.6763
cheng2020-anchor,1024x1024,,1.0,1.4506,0.7256,0.2016,0.8362,0.8673,0.0571,0.2405,0.673,0.6276
jpeg,512x512,,1.0,1.395,0.0597,0.0225,0.1007,0.0318,0.0057,0.088,0.1224,0.9418
jpeg,1024x1024,,1.0,1.3874,0.0593,0.0225,0.1016,0.0315,0.0056,0.0885,0.1174,0.9419
cheng2020-anchor,512x512,,2.0,2.0955,0.6563,0.162,0.8032,0.7419,0.03,0.1888,0.6018,0.7358
cheng2020-anchor,1024x1024,,2.0,1.7472,0.6788,0.217,0.8191,0.7844,0.0366,0.1996,0.5887,0.7151
jpeg,512x512,,2.0,1.8849,0.0271,0.011,0.0421,0.0139,0.0034,0.0622,0.0606,0.9738
jpeg,1024x1024,,2.0,1.8749,0.027,0.0107,0.0418,0.0139,0.0035,0.0623,0.0574,0.974
cheng2020-attn,64x64,,2.0,1.0472,0.5254,0.2324,0.8816,0.5031,0.029,0.1322,0.5893,0.846
cheng2020-attn,128x128,,2.0,0.8307,0.5315,0.2846,0.8233,0.5134,0.0258,0.1382,0.554,0.8344
jpeg,128x128,,2.0,2.0894,0.0277,0.0112,0.0428,0.0143,0.0034,0.0644,0.0691,0.9746
jpeg,256x256,,2.0,1.9282,0.0271,0.011,0.0405,0.0139,0.0034,0.0632,0.0648,0.974
mbt2018,64x64,,2.0,0.9726,0.4968,0.3174,0.8174,0.4571,0.012,0.1296,0.6044,0.8232
bmshj2018-factorized,128x128,,2.0,0.2203,0.9161,0.6485,0.9999,1.0,0.0582,0.1911,0.9594,0.3934
bmshj2018-factorized,256x256,,2.0,0.1916,0.9415,0.6984,0.9999,1.0,0.1183,0.1883,0.9177,0.28
mbt2018-mean,256x256,,2.0,0.6825,0.6178,0.3602,0.9553,0.6686,0.0143,0.1169,0.629,0.709
mbt2018,256x256,,2.0,1.3551,0.5444,0.2874,0.8597,0.5352,0.0149,0.1439,0.6164,0.7209
