Model,Size,p,q,bpp,L_k,L_low,L_high,ODR_k,|Delta_c_k|,s_k,H_k_bits,CE_k(w=2)
bmshj2018-hyperprior,128x128,,5.0,1.8547,0.3886,0.136,0.6503,0.3075,0.0102,0.1049,0.4431,0.8897
bmshj2018-factorized,1024x1024,,5.0,0.87,0.6589,0.3583,0.9287,0.7469,0.0266,0.1581,0.4718,0.8318
bmshj2018-factorized,512x512,,5.0,0.8814,0.6571,0.3398,0.9186,0.7434,0.0215,0.1546,0.508,0.835
mbt2018-mean,64x64,,5.0,2.3593,0.1709,0.1105,0.3132,0.1027,0.0068,0.0777,0.2876,0.9356
bmshj2018-hyperprior,512x512,,5.0,1.7107,0.4302,0.135,0.6907,0.3606,0.0126,0.1161,0.4883,0.7859
jpegxl,512x512,,5.0,1.9346,0.0012,0.0009,0.0012,0.0006,0.0002,0.013,0.0035,0.9989
jpegxl,128x128,,5.0,3.2173,0.0014,0.0012,0.0013,0.0007,0.0003,0.0158,0.0048,0.9988
jpegxl,256x256,,5.0,2.408,0.0013,0.0011,0.0013,0.0007,0.0003,0.0146,0.0042,0.9987
jpegxl,64x64,,5.0,4.3906,0.0016,0.0012,0.0017,0.0008,0.0003,0.0168,0.0058,0.9987
mbt2018,1024x1024,,5.0,6.1989,0.0987,0.0696,0.679,0.0547,0.0069,0.0864,0.1496,0.9272
bmshj2018-hyperprior,256x256,,5.0,1.8341,0.3907,0.1297,0.661,0.3101,0.0108,0.1085,0.4424,0.8566
jpeg,512x512,,5.0,3.2209,0.0039,0.0019,0.005,0.002,0.0008,0.0241,0.0107,0.9961
jpeg,1024x1024,,5.0,3.1887,0.0038,0.0019,0.0048,0.0019,0.0008,0.0238,0.0099,0.9962
jpeg,256x256,,5.0,3.3055,0.004,0.0019,0.0051,0.002,0.0008,0.0244,0.0115,0.9961
jpeg,128x128,,5.0,3.5127,0.0041,0.002,0.0051,0.0021,0.0008,0.0257,0.0127,0.9961
cheng2020-attn,64x64,,5.0,2.4798,0.2617,0.0689,0.5318,0.1755,0.0093,0.0967,0.3936,0.9405
cheng2020-anchor,512x512,,5.0,5.3318,0.5512,0.1711,0.5492,0.547,0.0599,0.2259,0.5692,0.763
cheng2020-anchor,1024x1024,,5.0,4.6981,0.997,0.9787,0.75,1.0,0.2077,0.3736,1.1624,0.0084
cheng2020-anchor,256x256,,5.0,4.2795,0.5551,0.0585,0.5727,0.5538,0.0511,0.2308,0.5979,0.7804
cheng2020-attn,64x64,,6.0,2.8665,0.3055,0.0564,0.6623,0.2165,0.0103,0.1021,0.3959,0.9354
cheng2020-anchor,512x512,,6.0,5.1684,0.7204,0.1574,0.6516,0.8587,0.091,0.332,0.9363,0.4429
cheng2020-anchor,1024x1024,,6.0,4.7047,0.9979,0.9574,0.9932,1.0,0.2641,0.4144,1.1729,0.007
cheng2020-anchor,256x256,,6.0,4.677,0.7676,0.6131,0.7094,0.9291,0.1033,0.3525,1.0119,0.3138
jpeg,512x512,,6.0,5.0146,0.0004,0.0002,0.0004,0.0002,0.0001,0.0083,0.0012,0.9996
jpeg,1024x1024,,6.0,4.9638,0.0003,0.0002,0.0004,0.0002,0.0001,0.0082,0.0011,0.9997
jpeg,256x256,,6.0,5.132,0.0004,0.0003,0.0004,0.0002,0.0001,0.0084,0.0013,0.9997
jpeg,128x128,,6.0,5.4019,0.0004,0.0003,0.0004,0.0002,0.0001,0.0088,0.0014,0.9997
jpegxl,256x256,,6.0,3.1616,0.0007,0.0006,0.0006,0.0003,0.0001,0.0106,0.0023,0.9994
jpegxl,64x64,,6.0,5.2988,0.0006,0.0007,0.0006,0.0003,0.0001,0.0116,0.0026,0.9995
mbt2018,1024x1024,,6.0,6.517,0.1157,0.0567,0.2766,0.0653,0.005,0.068,0.136,0.9616
bmshj2018-hyperprior,256x256,,6.0,2.946,0.1482,0.0553,0.4682,0.0868,0.0054,0.0741,0.2256,0.9249
mbt2018-mean,64x64,,6.0,2.8141,0.1851,0.1061,0.3249,0.1131,0.0055,0.0736,0.3019,0.937
bmshj2018-hyperprior,512x512,,6.0,2.925,0.1461,0.0478,0.4845,0.0853,0.0056,0.0755,0.2037,0.9226
jpegxl,512x512,,6.0,2.3862,0.0006,0.0005,0.0006,0.0003,0.0001,0.0096,0.0018,0.9995
jpegxl,128x128,,6.0,4.0464,0.0007,0.0007,0.0006,0.0004,0.0001,0.0113,0.0026,0.9994
bmshj2018-hyperprior,64x64,,6.0,3.121,0.2084,0.0798,0.4152,0.1309,0.0071,0.0771,0.3218,0.948
bmshj2018-hyperprior,128x128,,6.0,3.0581,0.163,0.0623,0.3429,0.0971,0.0057,0.0722,0.2523,0.9371
bmshj2018-factorized,1024x1024,,6.0,1.4495,0.4559,0.1887,0.7901,0.3961,0.0122,0.1056,0.3826,0.8586
bmshj2018-factorized,512x512,,6.0,1.4671,0.4552,0.1842,0.7856,0.395,0.0112,0.1044,0.4181,0.8585
mbt2018-mean,1024x1024,,6.0,10.939,0.1102,0.0509,0.2999,0.0619,0.0054,0.0678,0.1331,0.9603
mbt2018-mean,256x256,,6.0,7.3361,0.1251,0.0677,0.292,0.0714,0.0052,0.0675,0.1728,0.9518
mbt2018-mean,128x128,,6.0,4.3207,0.1487,0.0866,0.2796,0.0871,0.006,0.0696,0.2296,0.9391
bmshj2018-hyperprior,1024x1024,,6.0,2.9633,0.1446,0.043,0.488,0.0843,0.0055,0.0753,0.186,0.923
bmshj2018-factorized,128x128,,6.0,1.6134,0.4451,0.1512,0.7362,0.3809,0.0091,0.1031,0.4825,0.8677
bmshj2018-factorized,256x256,,6.0,1.5176,0.4566,0.1807,0.7756,0.397,0.0102,0.1041,0.4695,0.859
bmshj2018-factorized,64x64,,6.0,1.8451,0.3715,0.1327,0.6899,0.2873,0.0121,0.1094,0.5223,0.8866
cheng2020-attn,1024x1024,,6.0,2.2858,0.3003,0.0766,0.6087,0.2114,0.0079,0.0986,0.281,0.9304
mbt2018,512x512,,6.0,6.2005,0.115,0.0617,0.2791,0.0649,0.0051,0.0678,0.1477,0.9592
mbt2018,128x128,,6.0,3.5522,0.1253,0.0832,0.2778,0.0715,0.0055,0.0727,0.2038,0.9484
mbt2018,64x64,,6.0,3.1419,0.1344,0.0748,0.2754,0.0775,0.0052,0.0739,0.2477,0.9501
mbt2018-mean,512x512,,6.0,10.1736,0.1156,0.0565,0.3043,0.0653,0.0052,0.0681,0.15,0.9579
cheng2020-attn,256x256,,6.0,2.358,0.3052,0.0485,0.6156,0.2162,0.0056,0.0918,0.3316,0.9325
cheng2020-attn,512x512,,6.0,2.3377,0.2963,0.0636,0.6129,0.2075,0.0073,0.0994,0.2955,0.9328
webp,512x512,,6.0,5.5494,0.0002,0.0002,0.0002,0.0001,0.0001,0.0081,0.0008,0.9998
webp,256x256,,6.0,5.6099,0.0002,0.0002,0.0003,0.0001,0.0001,0.0083,0.0009,0.9998
cheng2020-anchor,64x64,,6.0,2.6829,0.2631,0.1369,0.597,0.1767,0.0206,0.1494,0.4384,0.901
ftic,512x512,,6.0,4.0071,0.0046,0.0023,0.0383,0.0023,0.0005,0.0248,0.0118,0.9964
ftic,256x256,,6.0,2.9768,0.0044,0.0022,0.0254,0.0022,0.0005,0.0249,0.0124,0.9964
mbt2018,256x256,,6.0,5.1117,0.1155,0.0712,0.2614,0.0652,0.0055,0.0698,0.1694,0.9565
webp,64x64,,6.0,6.2383,0.0003,0.0002,0.0003,0.0001,0.0001,0.0084,0.0011,0.9998
webp,128x128,,6.0,5.7188,0.0003,0.0002,0.0003,0.0001,0.0001,0.0087,0.0011,0.9997
jpegxl,1024x1024,,6.0,2.6539,0.0006,0.0005,0.0006,0.0003,0.0001,0.0104,0.0018,0.9994
cheng2020-attn,128x128,,6.0,2.5295,0.2695,0.0524,0.6071,0.1824,0.0056,0.0878,0.3401,0.936
webp,1024x1024,,6.0,5.4974,0.0002,0.0002,0.0002,0.0001,0.0001,0.0081,0.0008,0.9998
jpeg,64x64,,6.0,6.0195,0.0004,0.0003,0.0004,0.0002,0.0001,0.0089,0.0015,0.9997
cheng2020-anchor,128x128,,6.0,2.5252,0.2908,0.0856,0.544,0.2022,0.0192,0.1477,0.4132,0.8883
ftic,1024x1024,,6.0,4.8959,0.0045,0.0022,0.0481,0.0023,0.0005,0.0245,0.0109,0.9963
tcm,256x256,64.0,,0.7143,0.0278,0.0142,0.0633,0.0143,0.0044,0.061,0.0656,0.9761
tcm,256x256,128.0,,2.5986,0.0019,0.0014,0.0056,0.001,0.0003,0.0213,0.006,0.9981
tcm,512x512,64.0,,0.703,0.0266,0.0136,0.0516,0.0137,0.0033,0.0566,0.0586,0.9777
tcm,512x512,128.0,,2.6245,0.0019,0.0014,0.0053,0.0009,0.0004,0.021,0.0055,0.9981
tcm,1024x1024,64.0,,0.726,0.027,0.019,0.0527,0.0139,0.0037,0.0588,0.0556,0.9769
tcm,1024x1024,128.0,,2.6281,0.0019,0.0015,0.0053,0.0009,0.0004,0.0209,0.0051,0.9982
